"","Post Prev Ob","Post OR Ob","95% Cred Int Ob","PEP Ob","Post Prev MOb","Post OR MOb","95% Cred Int MOb","PEP MOb","Post Mean Wt","95% Cred Int Wt","PEP Wt"
"Diverse-Local (Ref)","0.615","1",NA,NA,"0.131","1",NA,NA,"95.251","[ 80.488, 113.070]","0.000"
"Local","0.738","1.762","[1.114, 2.775]","0.009","0.249","2.195","[1.298, 3.815]","0.002"," 0.865","[ -3.269,   4.982]","0.344"
"Restricted-Imported","0.735","1.734","[1.104, 2.657]","0.005","0.193","1.589","[0.931, 2.824]","0.049"," 2.984","[ -0.921,   7.270]","0.062"
"Imported","0.803","2.554","[1.635, 4.046]","0.000","0.280","2.578","[1.550, 4.414]","0.000"," 8.098","[  4.302,  12.269]","0.000"
